Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_ANK;$ORDER$Anakujan War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_ANK;$ORDER$Anakujan War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_NWM;$ORDER$Wismarian War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_NWM;$ORDER$Wismarian War of Indpendence;x
if;If the following is true;;;;;;;;;;;;;
for4;For four;;;;;;;;;;;;;
for2;two;;;;;;;;;;;;;
chibchan;Chibchan;;;;;;;;;;;;;
tupi;Tupi;;;;;;;;;;;;;
arawak;Arawak;;;;;;;;;;;;;
tapuia;Tapuia;;;;;;;;;;;;;
aymara;Aymara;;;;;;;;;;;;;
amazonian_minor;Isilban Minor;;;;;;;;;;;;;
andean_minor;New Atlasian Minor;;;;;;;;;;;;;
carib;Carib;;;;;;;;;;;;;
GC_NAME;1794 Post-Golgotha;;;;;;;;;;;;;
GC_DESC;It is the year 1836: 1794 years after the crucifixion of the so-called Anointed Messiah on the hill of Golgotha in the outskirts of Hierosolymna, 1608 since the last prophet, Mani, in bustling Seleucus-Ctesiphon had his first vision of his heavenly twin, and 1467 years since the pious bishop Ulfila invented the gothic letters and evangelised the mighty barbarians in the teachings of the unbegotten father and the first-begotten son. The world has changed much since these days of yore. The ancient Roman Imperium experienced a slow death, its civic and military machinery usurped by barbarian slavs, goths, and franks, and power and culture shifted south-eastward, to the Grecian states of Aegpyt and the levant, and the Manichean dynasties of in Medeo-Persia, the Eternal Empire of Light. For a thousand years, the states of the west languished in poverty, but in the 1500s the discovery of the new world brought wealth and power that allowed for the consolidation of the Witalian Peninsula and the old provinces of Africa and Hispania, bringing these states to near parity with the eastern powers. In the north, the Frankish empire failed to centralise, but enjoyed a sprawling quasi-feudal dominion throughout the new world and the old, priding themselves in their germanic tradition of Mannschaft and the rule of peers as compared to Grecian despotism. In the late 18th century, however, there has been a stirring of strange new powers and forces, to challenge the old order of state and church. The clever merchants of Aegypt, through their world spanning imperial markets, under the patronage of the great Faro, have begun to develop new methods of production, hauling coal out of northern thessaly to power the great new factories of Alexandria. As the world changes, the state must be steered through this tumultuous time, and as the genius of fate advances, each moment and choice acts to wed old and new, past and present, etching the eternal history of the world.;;;;;;;;;;;;;
araucanian;Araucanian;;;;;;;;;;;;;
chon;Chon;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_IMPERIAL_NAME;$ORDER$ Imperial Intervention in $COUNTRY_ADJ$;;;;;;;;;;;;;
NORMAL_WAR_FREE_IMPERIAL_NAME;$ORDER$ Imperial Intervention for $COUNTRY_ADJ$;;;;;;;;;;;;;
NORMAL_WAR_FREE_IMPERIAL_NAME_FRK_WTL;$ORDER$ Powhatan War;;;;;;;;;;;;;
AGRESSION_WAR_FREE_IMPERIAL_NAME_FRK_WTL;$ORDER$ Powhatan War;;;;;;;;;;;;;
AGRESSION_WAR_LIBERATE_IMPERIAL_NAME;$ORDER$ Imperial Intervention in $STATE$;;;;;;;;;;;;;
AGRESSION_WAR_FREE_IMPERIAL_NAME;$ORDER$ Imperial Intervention for $STATE$;;;;;;;;;;;;;
free_peoples_imperial;Imperial Intervention;;;;;;;;x;;;;
free_peoples_imperial_short;$THIRD$ acquires $STATE$;;;;;;;;x;;;;
free_peoples_imperial_setup;Return $STATE$ to the empire and to $THIRD$ from $RECIPIENT$;;;;;;;;x;;;;
free_peoples_imperial_desc;Liberate a §territory§W and restore the imperial borders.;;;;;;;;;;;;;
liberate_country_imperial;Imperial Restoration;;;;;;;;x;;;;
liberate_country_imperial_desc;Liberate an §Yentire state§W and restore the imperial borders.;;;;;;;;;;;;;
liberate_country_imperial_short;$THIRD$ acquires $STATE$;;;;;;;;;;;;;
liberate_country_imperial_setup;Return $STATE$ to the empire and to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;;
