Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_ANK;$ORDER$Anakujan War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_ANK;$ORDER$Anakujan War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_NWM;$ORDER$Wismarian War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_NWM;$ORDER$Wismarian War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_NBA;$ORDER$Nobafrican War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_NBA;$ORDER$Nobafrican War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_HRU;$ORDER$$SECOND$ War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_HRU;$ORDER$$SECOND$ WAR of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_AGS;$ORDER$Ulfiline War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_AGS;$ORDER$Ulfiline War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_RGT;$ORDER$$SECOND$ War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_RGT;$ORDER$$SECOND$ War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_NBS;$ORDER$$SECOND$ War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_NBS;$ORDER$$SECOND$ War of Indpendence;x
NORMAL_WAR_CONQUEST_ANY_NAME_HNU_NBM;$ORDER$$SECOND$ War of Indpendence;x
AGRESSION_WAR_CONQUEST_ANY_NAME_HNU_NBM;$ORDER$$SECOND$ War of Indpendence;x
if;If the following is true;;;;;;;;;;;;;
for4;For four;;;;;;;;;;;;;
for2;two;;;;;;;;;;;;;
chibchan;Chibchan;;;;;;;;;;;;;
tupi;Tupi;;;;;;;;;;;;;
arawak;Arawak;;;;;;;;;;;;;
tapuia;Tapuia;;;;;;;;;;;;;
aymara;Aymara;;;;;;;;;;;;;
amazonian_minor;Isilban Minor;;;;;;;;;;;;;
andean_minor;New Atlasian Minor;;;;;;;;;;;;;
carib;Carib;;;;;;;;;;;;;
GC_NAME;Bright January;;;;;;;;;;;;;
GC_DESC;It is the year 1836: 1794 years after the crucifixion of the so-called Anointed Messiah on the hill of Golgotha in the outskirts of Hierosolyma, 1603 since the last prophet, Mani, in bustling Seleucus-Ctesiphon had his first vision of his heavenly twin, and 1462 years since the pious Bishop Ulfila invented the Gothic Alphabet and evangelised the mighty barbarians in the teachings of the unbegotten father and the first-begotten son. The world has changed much since these days of yore. The ancient Roman Imperium experienced a slow death, its civic and military machinery usurped by barbarian Slavs, Goths, and Franks, and power and culture shifted south-eastward, to the Grecian states of Aegpyt and the Levant, and the Manichean dynasties of Medeo-Persia, the Eternal Empire of Light. For a thousand years, the states of the west languished in poverty, but in the 1500s the discovery of the new world brought wealth and power that allowed for the consolidation of the Witlian Peninsula and the old provinces of Numidia and Hispania, bringing these states to near parity with the eastern powers. In the north, the Frankish empire failed to centralise, but enjoyed a sprawling quasi-feudal dominion throughout the new world and the old, priding themselves in their Germanic tradition of mannschaft and the rule of peers as compared to Grecian despotism. In the late 18th century, however, there has been a stirring of strange new powers and forces, to challenge the old order of state and church. The clever merchants of Aegypt and Mihrania, through their world spanning imperial markets, under the patronage of the great Faro and the Shah-an-Shah, have begun to develop new methods of production, hauling coal out of northern Thessaly and the Alborz to power the great new factories of Alexandria and Ctesiphon. As the world changes, the state must be steered through this tumultuous time, and as the genius of fate advances, each moment and choice acts to wed old and new, past and present, etching the eternal history of the world.;;;;;;;;;;;;;
araucanian;Araucanian;;;;;;;;;;;;;
chon;Chon;;;;;;;;;;;;;
NORMAL_WAR_LIBERATE_IMPERIAL_NAME;$ORDER$ Imperial Intervention in $COUNTRY_ADJ$;;;;;;;;;;;;;
NORMAL_WAR_FREE_IMPERIAL_NAME;$ORDER$ Imperial Intervention for $COUNTRY_ADJ$;;;;;;;;;;;;;
NORMAL_WAR_FREE_IMPERIAL_NAME_FRK_WTL;$ORDER$Powhatan War;;;;;;;;;;;;;
AGRESSION_WAR_FREE_IMPERIAL_NAME_FRK_WTL;$ORDER$Powhatan War;;;;;;;;;;;;;
AGRESSION_WAR_LIBERATE_IMPERIAL_NAME;$ORDER$ Imperial Intervention in $STATE$;;;;;;;;;;;;;
AGRESSION_WAR_FREE_IMPERIAL_NAME;$ORDER$ Imperial Intervention for $STATE$;;;;;;;;;;;;;
free_peoples_imperial;Imperial Intervention;;;;;;;;x;;;;
free_peoples_imperial_short;$THIRD$ acquires $STATE$;;;;;;;;x;;;;
free_peoples_imperial_setup;Return $STATE$ to the empire and to $THIRD$ from $RECIPIENT$;;;;;;;;x;;;;
free_peoples_imperial_desc;Liberate a §Yterritory§W and restore the imperial borders.;;;;;;;;;;;;;
liberate_country_imperial;Imperial Restoration;;;;;;;;x;;;;
liberate_country_imperial_desc;Liberate an §Yentire state§W and restore the imperial borders.;;;;;;;;;;;;;
liberate_country_imperial_short;$THIRD$ acquires $STATE$;;;;;;;;;;;;;
liberate_country_imperial_setup;Return $STATE$ to the empire and to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;;
annex_small_puppet;Annex Satellite State;;;;;;;;x;;;;
annex_small_puppet_desc;Seize a §Ysmall unincorporated state§W from its overlord.;;;;;;;;x;;;;
annex_small_puppet_short;Take $THIRD$ from $RECIPIENT$;;;;;;;;x;;;;
annex_small_puppet_setup;Seize $THIRD$ from their overlord, $RECIPIENT$, and annex it.;;;;;;;;x;;;;
take_puppet_state;Take Satellite Region;;;;;;;;x;;;;
take_puppet_state_desc;Take a §YState§W from a §Ysatellite§W of this nation.;;;;;;;;x;;;;
take_puppet_state_short;Take a state from $RECIPIENT$'s satellite;;;;;;;;x;;;;
take_puppet_state_setup;Negotiate a peace treaty with $RECIPIENT$ to cede a satellite's province.;;;;;;;;x;;;;
huacan;Huacan;;;;;;;;;;;;;
sephardic;Shurim;;;;;;;;;;;;;
yahudim;Yahudim;;;;;;;;;;;;;
ysraelite;Ysraelite;;;;;;;;;;;;;
gypsy;Roma-Sinti;;;;;;;;;;;;;
manchu;Jurchen-Nanai;;;;;;;;;;;;;
maures;Zenaga;;;;;;;;;;;;;
unmanly;Pathetic;;;;;;;;;;;;;x
chickenhearted;Listless;;;;;;;;;;;;;x
shrinking_violet;Misanthropic;;;;;;;;;;;;;x
womanizer;Plunderer;;;;;;;;;;;;;x
glory_hound;Bloodthirsty;;;;;;;;;;;;;x
natural_born_leader;Inspiring Leader;;;;;;;;;;;;;x
bureaucrat_speed;Bureaucrat;;;;;;;;;;;;;x
cruel;Cruel;;;;;;;;;;;;;
diligent;Diligent;;;;;;;;;;;;;
expert;Paranoid;;;;;;;;;;;;;x
old_school;Old Guard;;;;;;;;;;;;;x
hated;Exile;;;;;;;;;;;;;x
cursed_luck;Torturer;;;;;;;;;;;;;x
clueless;Bungler;;;;;;;;;;;;;x
immoral;Pilferer;;;;;;;;;;;;;x
spoiled;Princeling;;;;;;;;;;;;;x
uncommonly_young;Dreamer;;;;;;;;;;;;;x
elderly;Elder;;;;;;;;;;;;;x
incompetent;Wastrel;;;;;;;;;;;;;x
unqualified;Drunkard;;;;;;;;;;;;;x
unfit;Sinecurist;;;;;;;;;;;;;x
disgraced_p;Careerist;;;;;;;;;;;;;x
disgraced;Campaigner;;;;;;;;;;;;;x
corrupt;Embezzler;;;;;;;;;;;;;x
war_college;War College Graduate;;;;;;;;;;;;;x
shirker;Shirking;;;;;;;;;;;;;x
powerful_friends;Social Climber;;;;;;;;;;;;;x
school_of_defense;Constable;;;;;;;;;;;;;x
school_of_offense;Rifleman;;;;;;;;;;;;;x
school_of_the_bayonet;Prize Fighter;;;;;;;;;;;;;x
school_of_firepower;Doctor;;;;;;;;;;;;;x
sucker;Fool;;;;;;;;;;;;;x
brownnoser;Lackey;;;;;;;;;;;;x
oil;Petroleum;;;;;;;;;;;;;x
HAVE_LESS_VASSALS_THAN;have less vassals than;;;;;;;;;;;;;x
HAVE_NOT_A_IN;An ocean borders ;;;;;;;;;;;;;x
HAS_NO_COLONIES;has colonial territories.\n;x
HAS_COLONIES;does not have colonial territories.\n;x
HAS_GOODS;has goods;;;;;;;;;;;;;x
YOU_LOST;§RBitter Defeat;x
YOU_WON;§GImmortal Victory;x
POP_DAILY_EVENT;Windfalls: §Y$VAL$§W¤;;;;;;;;;;;;;;x
ballsy;Temerarious;;;;;;;;;;;;;x
ANY_POP_IN_PROVINCE_STARTS;Any pop in province;x
MODIFIER_POP_CONSCIOUSNESS_MODIFIER;Pop consciousness;x
HAVE_INDUSTRIAL_SCORE_LESS_THAN;Have industrial score less than;;;;;;;;;;;;;x
TRIGGER_STATE;State;x
HAS_NO_MINORITIES;Has minorities;;;;;;;;;;;;;x
RULE_DHONT;Parmenides' Method;x
LOADING_MAP_SPRITES;Conjuring Yazatas...;x
LOADING_GUI_DEF;Building the Second Temple...;x
LOADING_DATABASES;Watching the Stars...;x
LOADING_DATABASES2;Predicting Meteors...;x
INIT_MAP_LOGIC;Discerning the Soul of Er...;x
CREATING_CHKSUM;Discovering Monad...;x
LOADING_HISTORY;Settling Nomads...;x
LOADING_SOUNDS;Touching the Wounds of Christ...;x
PROC_FLAGS;Destroying the Second Temple...;x
EXECUTING_HISTORY;Taking Court with Yazdgerd...;x
LOAD_FLAGS;Evangelising the Goths...;;x
LOAD_GFX;Determining Synthetic Present...;x
CREATING_THE_WORLD;Isolating Necessary Beings...;x
CREATING_TREES;Planting Royal Gardens...;x
CREATING_BORDERS;Conquering Persia...;x
CREATING_RIVERS;Charting New Lands...;x
MAP_PROPERLY_INIT;Judging Souls...;x
CREATING_TEXTS;Silencing Dissenting Voices...;x
LOAD_EVENTS;Cleaving Good from Evil...;x
ADAPTING_HISTORY;Identifying Contigent Phenomena...;x
CALC_PATHS;Arranging Trans-World-Techno-Causal Laws;x
DIPLOMACY_FILTER_NORTH_AMERICA;Lothaire;;;;;;;;;;;;;
DIPLOMACY_FILTER_NORTH_AMERICA_TOOLTIP;List §YLotharingen§W countries;;;;;;;;;;;;;
DIPLOMACY_FILTER_SOUTH_AMERICA;Antipoedea;;;;;;;;;;;;;
DIPLOMACY_FILTER_SOUTH_AMERICA_TOOLTIP;List §YAntipoedean§W countries;;;;;;;;;;;;;
DIPLOMACY_FILTER_AFRICA;Libya;;;;;;;;;;;;;
DIPLOMACY_FILTER_AFRICA_TOOLTIP;List §YLibyan§W countries;;;;;;;;;;;;;
bon_chrestien;Bon Chrestien;;;;;;;;;;;;;x
thomasine;Thomasine;;;;;;;;;;;;;x
cavalry_school;Horseman;;;;;;;;;;;;;x
AND_TRIGGER_STARTS;            All of the below;;;;;;;;;;;;;x
an_indian_empire;An Indian Empire;;;;;;;;;;;;;x
a_serican_empire;An Serican Empire;;;;;;;;;;;;;x
